source,target,value
.NET,C#,2.0
.NET,ASP.NET MVC 5,2.0
.NET,WebAPI,2.0
Web Development,HTML5,2.0
Web Development,CSS3,2.0
CSS3,SASS,1.0
Web Development,JavaScript,2.0
Web Development,D3.js,1.0
JavaScript,ES5,2.0
JavaScript,ES6,1.0
Web Development,Node.js,2.0
Web Development,Build Tools,2.0
Build Tools,Gulp,2.0
Build Tools,NPM Scripts,1.0
Front-End Frameworks,AngularJS,2.0
Front-End Frameworks,React,1.0
React,Flux,1.0
React,Redux,1.0
General Software Development,Git,2.0
General Software Development,GitHub,2.0
General Software Development,Team Foundation Server,2.0
Automated Testing,Selenium WebDriver,2.0
Automated Testing,Specflow,1.0
Automated Testing,Protractor,1.0
